filename,score
CtrSVDD_0125_E_0000001,-3.0067272186279284
CtrSVDD_0114_E_0000002,-0.22783839702606212
CtrSVDD_0154_E_0000003,1.2491695880889897
CtrSVDD_0135_E_0000004,-1.621765375137329
CtrSVDD_0118_E_0000005,0.24197894334793077
CtrSVDD_0120_E_0000006,-0.09986618161201478
CtrSVDD_0138_E_0000007,3.641960144042967
CtrSVDD_0124_E_0000008,3.695746421813959
CtrSVDD_0120_E_0000009,-2.943861246109008
CtrSVDD_0148_E_0000010,-1.2718199491500863
CtrSVDD_0141_E_0000011,-1.6275773048400881
CtrSVDD_0153_E_0000012,1.001172065734864
CtrSVDD_0115_E_0000013,-2.9721562862396214
CtrSVDD_0120_E_0000014,-2.9671165943145743
CtrSVDD_0115_E_0000015,-2.969186305999756
CtrSVDD_0130_E_0000016,1.9135026931762693
CtrSVDD_0123_E_0000017,-2.671445369720459
CtrSVDD_0160_E_0000018,-0.647854268550873
CtrSVDD_0151_E_0000019,-1.1745333671569822
CtrSVDD_0123_E_0000020,-2.950649976730348
CtrSVDD_0125_E_0000021,-2.6768116950988774
CtrSVDD_0115_E_0000022,-2.938552141189577
CtrSVDD_0117_E_0000023,-2.5977139472961435
CtrSVDD_0114_E_0000024,-1.776249647140503
CtrSVDD_0149_E_0000025,0.6472249627113346
CtrSVDD_0114_E_0000026,-1.0412551164627082
CtrSVDD_0114_E_0000027,-2.998971223831177
CtrSVDD_0114_E_0000028,3.457422971725462
CtrSVDD_0141_E_0000029,1.6456615924835196
CtrSVDD_0136_E_0000030,-0.8874939680099487
CtrSVDD_0114_E_0000031,-1.7099723815917969
CtrSVDD_0115_E_0000032,-2.9756131172180185
CtrSVDD_0123_E_0000033,-2.14569091796875
CtrSVDD_0158_E_0000034,-2.9007568359375013
CtrSVDD_0138_E_0000035,-2.966028213500975
CtrSVDD_0121_E_0000036,3.1044440269470233
CtrSVDD_0122_E_0000037,-2.116997241973878
CtrSVDD_0119_E_0000038,-0.700469732284546
CtrSVDD_0119_E_0000039,-2.976554155349733
CtrSVDD_0120_E_0000040,-1.1484287977218626
CtrSVDD_0162_E_0000041,3.37821650505066
CtrSVDD_0122_E_0000042,1.7780990600585944
CtrSVDD_0115_E_0000043,3.003943204879762
CtrSVDD_0143_E_0000044,-3.0789451599121116
CtrSVDD_0119_E_0000045,-2.9016730785369886
CtrSVDD_0147_E_0000046,-1.2367575168609621
CtrSVDD_0114_E_0000047,-2.936365604400633
CtrSVDD_0118_E_0000048,3.775889873504642
CtrSVDD_0120_E_0000049,3.283844232559203
CtrSVDD_0121_E_0000050,-2.9667041301727277
CtrSVDD_0119_E_0000051,-2.4969248771667485
CtrSVDD_0122_E_0000052,-2.9479696750640865
CtrSVDD_0116_E_0000053,0.8385061621665952
CtrSVDD_0122_E_0000054,-2.954430341720582
CtrSVDD_0118_E_0000055,-2.97146987915039
CtrSVDD_0120_E_0000056,-2.946176528930664
CtrSVDD_0127_E_0000057,-1.281363248825073
